Date;Time;Timestamp;PM2_5(ug/m3);AQI(US);AQI(CN);PM10(ug/m3);PM1(ug/m3);Outdoor AQI(US);Outdoor AQI(CN);Temperature(C);Temperature(F);Humidity(%RH);CO2(ppm)
2022/06/01;09:54:26;1654077266;0.0;0;0;0.0;0.0;0;0;18.0;64.4;58;350;
2022/06/01;09:54:36;1654077276;1.0;4;1;1.0;0.0;0;0;18.0;64.4;58;571;
2022/06/01;09:54:46;1654077286;1.0;4;1;1.0;0.0;0;0;18.0;64.4;58;556;
2022/06/01;09:54:56;1654077296;1.0;4;1;1.0;0.0;0;0;18.0;64.4;58;564;
2022/06/01;09:55:06;1654077306;1.0;4;1;1.0;0.0;0;0;18.0;64.4;58;557;
2022/06/01;09:55:16;1654077316;1.0;4;1;1.0;0.0;0;0;18.0;64.4;58;557;
2022/06/01;09:55:26;1654077326;1.0;4;1;1.0;0.0;0;0;18.0;64.4;58;557;
2022/06/01;09:55:36;1654077336;1.0;4;1;1.0;0.0;0;0;18.0;64.4;58;557;
2022/06/01;09:55:46;1654077346;1.0;4;1;1.0;0.0;0;0;18.1;64.5;58;557;
2022/06/01;09:55:56;1654077356;1.0;4;1;1.0;0.0;0;0;18.1;64.5;58;557;
2022/06/01;09:56:06;1654077366;1.0;4;1;1.0;0.0;0;0;18.1;64.5;58;556;
2022/06/01;09:56:16;1654077376;1.0;4;1;1.0;0.0;0;0;18.1;64.5;58;557;
2022/06/01;09:56:26;1654077386;1.0;4;1;1.0;0.0;0;0;18.1;64.5;58;556;
2022/06/01;09:56:36;1654077396;0.0;0;0;0.0;0.0;0;0;18.1;64.5;58;556;
2022/06/01;09:56:46;1654077406;1.0;4;1;1.0;0.0;0;0;18.1;64.6;58;557;
2022/06/01;09:56:56;1654077416;1.0;4;1;1.0;0.0;0;0;18.1;64.6;58;558;
2022/06/01;09:57:06;1654077426;1.0;4;1;1.0;0.0;0;0;18.1;64.6;58;558;
2022/06/01;09:57:16;1654077436;1.0;4;1;1.0;0.0;0;0;18.1;64.6;58;558;
2022/06/01;09:57:26;1654077446;1.0;4;1;1.0;0.0;0;0;18.1;64.6;58;558;
2022/06/01;09:57:36;1654077456;0.0;0;0;0.0;0.0;0;0;18.1;64.6;58;559;
2022/06/01;09:57:46;1654077466;0.0;0;0;0.0;0.0;0;0;18.1;64.7;58;560;
2022/06/01;09:57:56;1654077476;0.0;0;0;0.0;0.0;0;0;18.1;64.7;58;561;
2022/06/01;09:58:06;1654077486;1.0;4;1;1.0;0.0;0;0;18.1;64.7;58;561;
2022/06/01;09:58:16;1654077496;1.0;4;1;1.0;0.0;0;0;18.1;64.7;58;562;
2022/06/01;09:58:26;1654077506;1.0;4;1;1.0;0.0;0;0;18.1;64.7;58;562;
2022/06/01;09:58:36;1654077516;1.0;4;1;1.0;0.0;0;0;18.1;64.7;58;562;
2022/06/01;09:58:46;1654077526;1.0;4;1;1.0;0.0;0;0;18.2;64.7;58;562;
2022/06/01;09:58:56;1654077536;1.0;4;1;1.0;0.0;0;0;18.2;64.7;58;563;
2022/06/01;09:59:06;1654077546;1.0;4;1;1.0;0.0;0;0;18.2;64.7;58;564;
2022/06/01;09:59:16;1654077556;1.0;4;1;1.0;0.0;0;0;18.2;64.8;58;565;
2022/06/01;09:59:26;1654077566;1.0;4;1;1.0;0.0;0;0;18.2;64.8;58;566;
2022/06/01;09:59:36;1654077576;1.0;4;1;1.0;0.0;0;0;18.2;64.8;58;566;
2022/06/01;09:59:46;1654077586;1.0;4;1;1.0;0.0;0;0;18.2;64.8;58;567;
2022/06/01;09:59:56;1654077596;1.0;4;1;1.0;0.0;0;0;18.2;64.8;58;568;
2022/06/01;10:00:06;1654077606;1.0;4;1;1.0;0.0;0;0;18.2;64.8;58;568;
2022/06/01;10:00:16;1654077616;1.0;4;1;1.0;0.0;0;0;18.3;64.9;58;570;
2022/06/01;10:00:26;1654077626;1.0;4;1;1.0;0.0;0;0;18.3;64.9;58;571;
2022/06/01;10:00:36;1654077636;1.0;4;1;1.0;0.0;0;0;18.3;64.9;58;571;
2022/06/01;10:00:46;1654077646;1.0;4;1;1.0;0.0;0;0;18.3;64.9;58;572;
2022/06/01;10:00:56;1654077656;1.0;4;1;1.0;0.0;0;0;18.3;64.9;58;572;
2022/06/01;10:01:06;1654077666;1.0;4;1;1.0;0.0;0;0;18.3;64.9;58;572;
2022/06/01;10:01:16;1654077676;1.0;4;1;1.0;0.0;0;0;18.3;65.0;59;573;
2022/06/01;10:01:26;1654077686;1.0;4;1;1.0;0.0;0;0;18.3;65.0;59;575;
2022/06/01;10:01:36;1654077696;1.0;4;1;1.0;0.0;0;0;18.3;65.0;59;575;
2022/06/01;10:01:46;1654077706;1.0;4;1;1.0;0.0;0;0;18.4;65.1;59;575;
2022/06/01;10:01:56;1654077716;1.0;4;1;1.0;0.0;0;0;18.4;65.1;59;576;
2022/06/01;10:02:06;1654077726;1.0;4;1;1.0;0.0;0;0;18.4;65.1;59;575;
2022/06/01;10:02:16;1654077736;1.0;4;1;1.0;0.0;0;0;18.4;65.1;59;575;
2022/06/01;10:02:26;1654077746;0.0;0;0;0.0;0.0;0;0;18.4;65.1;59;576;
2022/06/01;10:02:36;1654077756;0.0;0;0;0.0;0.0;0;0;18.4;65.1;59;577;
2022/06/01;10:02:46;1654077766;1.0;4;1;1.0;0.0;0;0;18.4;65.2;59;578;
2022/06/01;10:02:56;1654077776;1.0;4;1;1.0;0.0;0;0;18.4;65.2;59;577;
2022/06/01;10:03:06;1654077786;1.0;4;1;1.0;0.0;0;0;18.4;65.2;59;578;
2022/06/01;10:03:16;1654077796;1.0;4;1;1.0;0.0;0;0;18.5;65.3;59;578;
2022/06/01;10:03:26;1654077806;0.0;0;0;0.0;0.0;0;0;18.5;65.3;59;578;
2022/06/01;10:03:36;1654077816;0.0;0;0;0.0;0.0;0;0;18.5;65.3;59;578;
2022/06/01;10:03:46;1654077826;1.0;4;1;1.0;0.0;0;0;18.5;65.4;58;579;
2022/06/01;10:03:56;1654077836;0.0;0;0;0.0;0.0;0;0;18.5;65.4;58;580;
2022/06/01;10:04:06;1654077846;1.0;4;1;1.0;0.0;0;0;18.5;65.4;58;580;
2022/06/01;10:09:16;1654078156;1.0;4;1;1.0;0.0;0;0;18.8;65.8;57;589;
2022/06/01;10:14:16;1654078456;0.0;0;0;0.0;0.0;0;0;19.0;66.1;57;609;
2022/06/01;10:19:16;1654078756;0.0;0;0;0.0;0.0;0;0;19.1;66.4;57;625;
2022/06/01;10:24:16;1654079056;1.0;4;1;1.0;0.0;0;0;19.2;66.5;56;642;
2022/06/01;10:29:16;1654079356;1.0;4;1;1.0;0.0;0;0;19.2;66.6;56;655;
2022/06/01;10:34:16;1654079656;1.0;4;1;1.0;0.0;0;0;19.2;66.6;55;673;
2022/06/01;10:39:16;1654079956;1.0;4;1;1.0;0.0;0;0;19.3;66.8;55;689;
2022/06/01;10:44:16;1654080256;1.0;4;1;1.0;0.0;0;0;19.4;66.9;55;711;
2022/06/01;10:49:16;1654080556;0.0;0;0;0.0;0.0;0;0;19.4;67.0;56;749;
2022/06/01;10:54:16;1654080856;1.0;4;1;1.0;0.0;0;0;19.5;67.1;56;787;
2022/06/01;10:59:16;1654081156;1.0;4;1;1.0;0.0;0;0;19.6;67.2;55;812;
2022/06/01;11:04:16;1654081456;1.0;4;1;1.0;0.0;0;0;19.7;67.4;55;833;
2022/06/01;11:09:16;1654081756;1.0;4;1;1.0;0.0;0;0;19.7;67.5;56;874;
2022/06/01;11:14:16;1654082056;1.0;4;1;1.0;0.0;0;0;19.8;67.6;55;871;
2022/06/01;11:19:16;1654082356;1.0;4;1;1.0;0.0;0;0;19.8;67.6;55;868;
2022/06/01;11:24:16;1654082656;1.0;4;1;1.0;0.0;0;0;19.8;67.6;55;869;
2022/06/01;11:29:16;1654082956;0.0;0;0;0.0;0.0;0;0;19.8;67.7;55;866;
2022/06/01;11:34:16;1654083256;0.0;0;0;0.0;0.0;0;0;19.8;67.7;55;871;
2022/06/01;11:39:16;1654083556;0.0;0;0;0.0;0.0;0;0;19.8;67.7;55;887;
2022/06/01;11:44:16;1654083856;1.0;4;1;1.0;0.0;0;0;19.9;67.8;55;922;
2022/06/01;11:49:16;1654084156;1.0;4;1;1.0;0.0;0;0;20.0;67.9;55;968;
2022/06/01;11:54:16;1654084456;0.0;0;0;0.0;0.0;0;0;20.0;68.0;55;1007;
2022/06/01;11:59:16;1654084756;0.0;0;0;0.0;0.0;0;0;20.1;68.1;55;1049;
2022/06/01;12:04:16;1654085056;1.0;4;1;1.0;0.0;0;0;20.2;68.4;55;1090;
2022/06/01;12:09:12;1654085352;0.0;0;0;0.0;0.0;0;0;20.3;68.6;55;1114;
2022/06/01;12:09:16;1654085356;0.0;0;0;0.0;0.0;0;0;20.3;68.6;55;1114;
2022/06/01;12:09:22;1654085362;0.0;0;0;0.0;0.0;0;0;20.3;68.6;55;1117;
2022/06/01;12:09:32;1654085372;0.0;0;0;0.0;0.0;0;0;20.3;68.6;55;1121;
2022/06/01;12:24:33;1654086273;1.0;4;1;1.0;0.0;0;0;21.8;71.2;50;597;
2022/06/01;12:27:51;1654086471;1.0;4;1;2.0;0.0;0;0;22.2;72.0;49;682;
2022/06/01;12:28:01;1654086481;1.0;4;1;1.0;0.0;0;0;22.2;72.0;49;685;
2022/06/01;12:28:11;1654086491;1.0;4;1;1.0;0.0;0;0;22.2;72.0;49;689;
2022/06/01;12:28:21;1654086501;1.0;4;1;1.0;0.0;0;0;22.2;72.0;49;693;
2022/06/01;12:28:31;1654086511;1.0;4;1;1.0;0.0;0;0;22.2;72.0;49;715;
2022/06/01;12:28:41;1654086521;1.0;4;1;1.0;0.0;0;0;22.4;72.3;50;781;
2022/06/01;12:28:51;1654086531;1.0;4;1;1.0;0.0;0;0;22.4;72.3;50;842;
2022/06/01;12:29:01;1654086541;1.0;4;1;1.0;0.0;0;0;22.4;72.3;50;865;
2022/06/01;12:29:11;1654086551;1.0;4;1;1.0;0.0;0;0;22.4;72.3;50;872;
2022/06/01;12:29:21;1654086561;1.0;4;1;1.0;0.0;0;0;22.4;72.3;50;872;
2022/06/01;12:29:31;1654086571;1.0;4;1;1.0;0.0;0;0;22.4;72.3;50;877;
2022/06/01;12:29:41;1654086581;1.0;4;1;1.0;0.0;0;0;22.4;72.3;50;875;
2022/06/01;12:29:51;1654086591;1.0;4;1;1.0;0.0;0;0;22.4;72.3;50;872;
2022/06/01;12:30:01;1654086601;1.0;4;1;1.0;0.0;0;0;22.4;72.3;50;872;
2022/06/01;12:30:11;1654086611;1.0;4;1;1.0;0.0;0;0;22.4;72.3;50;876;
2022/06/01;12:30:21;1654086621;1.0;4;1;1.0;0.0;0;0;22.4;72.3;50;879;
2022/06/01;12:30:31;1654086631;1.0;4;1;1.0;0.0;0;0;22.4;72.3;50;879;
2022/06/01;12:30:41;1654086641;1.0;4;1;1.0;0.0;0;0;22.3;72.2;50;879;
2022/06/01;12:30:51;1654086651;1.0;4;1;1.0;0.0;0;0;22.3;72.2;50;877;
2022/06/01;12:31:01;1654086661;1.0;4;1;1.0;0.0;0;0;22.3;72.2;50;875;
2022/06/01;12:31:11;1654086671;1.0;4;1;1.0;0.0;0;0;22.3;72.1;50;870;
2022/06/01;12:31:21;1654086681;1.0;4;1;1.0;0.0;0;0;22.3;72.1;50;866;
2022/06/01;12:31:31;1654086691;1.0;4;1;1.0;0.0;0;0;22.3;72.1;50;859;
2022/06/01;12:31:41;1654086701;1.0;4;1;1.0;0.0;0;0;22.2;71.9;50;854;
2022/06/01;12:31:51;1654086711;1.0;4;1;1.0;0.0;0;0;22.2;71.9;50;848;
2022/06/01;12:32:01;1654086721;1.0;4;1;1.0;0.0;0;0;22.2;71.9;50;844;
2022/06/01;12:32:11;1654086731;1.0;4;1;1.0;0.0;0;0;22.2;71.9;50;838;
2022/06/01;12:32:21;1654086741;1.0;4;1;1.0;0.0;0;0;22.2;71.9;50;836;
2022/06/01;12:32:31;1654086751;1.0;4;1;1.0;0.0;0;0;22.2;71.9;50;835;
2022/06/01;12:32:41;1654086761;1.0;4;1;1.0;0.0;0;0;22.1;71.9;50;835;
2022/06/01;12:32:51;1654086771;1.0;4;1;1.0;0.0;0;0;22.1;71.9;50;835;
2022/06/01;12:33:01;1654086781;1.0;4;1;1.0;0.0;0;0;22.1;71.9;50;836;
2022/06/01;12:33:11;1654086791;1.0;4;1;1.0;0.0;0;0;22.1;71.7;50;836;
2022/06/01;12:33:21;1654086801;1.0;4;1;1.0;0.0;0;0;22.1;71.7;50;836;
2022/06/01;12:33:31;1654086811;1.0;4;1;1.0;0.0;0;0;22.1;71.7;50;835;
2022/06/01;12:33:41;1654086821;1.0;4;1;1.0;0.0;0;0;22.1;71.7;50;835;
2022/06/01;12:33:51;1654086831;1.0;4;1;1.0;0.0;0;0;22.1;71.7;50;835;
2022/06/01;12:34:01;1654086841;1.0;4;1;1.0;0.0;0;0;22.1;71.7;50;839;
2022/06/01;12:34:11;1654086851;1.0;4;1;1.0;0.0;0;0;22.0;71.7;50;840;
2022/06/01;12:34:21;1654086861;1.0;4;1;1.0;0.0;0;0;22.0;71.7;50;841;
2022/06/01;12:34:31;1654086871;1.0;4;1;1.0;0.0;0;0;22.0;71.7;50;843;
2022/06/01;12:34:41;1654086881;1.0;4;1;1.0;0.0;0;0;22.0;71.6;50;843;
2022/06/01;12:34:51;1654086891;1.0;4;1;1.0;0.0;0;0;22.0;71.6;50;843;
2022/06/01;12:35:01;1654086901;1.0;4;1;1.0;0.0;0;0;22.0;71.6;50;842;
2022/06/01;12:35:11;1654086911;0.0;0;0;0.0;0.0;0;0;22.0;71.6;50;841;
2022/06/01;12:35:21;1654086921;1.0;4;1;1.0;0.0;0;0;22.0;71.6;50;841;
2022/06/01;12:35:31;1654086931;1.0;4;1;1.0;0.0;0;0;22.0;71.6;50;843;
2022/06/01;12:35:41;1654086941;1.0;4;1;1.0;0.0;0;0;22.0;71.5;50;846;
2022/06/01;12:35:51;1654086951;1.0;4;1;1.0;0.0;0;0;22.0;71.5;50;849;
2022/06/01;12:36:01;1654086961;1.0;4;1;1.0;0.0;0;0;22.0;71.5;50;853;
2022/06/01;12:36:11;1654086971;1.0;4;1;1.0;0.0;0;0;21.9;71.5;50;855;
2022/06/01;12:36:21;1654086981;1.0;4;1;1.0;0.0;0;0;21.9;71.5;50;858;
2022/06/01;12:36:31;1654086991;0.0;0;0;0.0;0.0;0;0;21.9;71.5;50;859;
2022/06/01;12:36:41;1654087001;0.0;0;0;0.0;0.0;0;0;21.9;71.4;50;860;
2022/06/01;12:36:51;1654087011;1.0;4;1;1.0;0.0;0;0;21.9;71.4;50;859;
2022/06/01;12:37:01;1654087021;1.0;4;1;1.0;0.0;0;0;21.9;71.4;50;857;
2022/06/01;12:37:11;1654087031;1.0;4;1;1.0;0.0;0;0;21.9;71.4;50;856;
2022/06/01;12:37:21;1654087041;1.0;4;1;1.0;0.0;0;0;21.9;71.4;50;852;
2022/06/01;12:37:31;1654087051;2.0;8;3;2.0;0.0;0;0;21.9;71.4;50;848;
2022/06/01;12:37:41;1654087061;1.0;4;1;1.0;0.0;0;0;21.9;71.4;50;844;
2022/06/01;12:37:51;1654087071;1.0;4;1;1.0;0.0;0;0;21.9;71.4;50;840;
2022/06/01;12:38:01;1654087081;1.0;4;1;1.0;0.0;0;0;21.9;71.4;50;836;
2022/06/01;12:43:03;1654087383;1.0;4;1;1.0;0.0;0;0;21.7;71.0;50;806;
2022/06/01;12:48:03;1654087683;1.0;4;1;1.0;0.0;0;0;21.6;70.9;51;821;
2022/06/01;12:53:03;1654087983;1.0;4;1;1.0;0.0;0;0;21.5;70.7;51;761;
2022/06/01;12:58:03;1654088283;1.0;4;1;1.0;0.0;0;0;21.5;70.7;51;707;
2022/06/01;13:03:03;1654088583;1.0;4;1;1.0;0.0;0;0;21.5;70.7;50;580;
2022/06/01;13:08:03;1654088883;1.0;4;1;1.0;0.0;0;0;21.5;70.7;50;560;
2022/06/01;13:13:03;1654089183;1.0;4;1;1.0;0.0;0;0;21.5;70.7;50;589;
2022/06/01;15:54:12;1654098852;0.0;0;0;0.0;0.0;0;0;20.1;68.2;56;350;
2022/06/01;15:54:22;1654098862;0.0;0;0;0.0;0.0;0;0;20.1;68.2;56;1481;
2022/06/01;15:54:32;1654098872;0.0;0;0;0.0;0.0;0;0;20.1;68.2;56;1466;
2022/06/01;15:54:42;1654098882;0.0;0;0;0.0;0.0;0;0;20.1;68.2;56;1446;
2022/06/01;15:54:52;1654098892;0.0;0;0;0.0;0.0;0;0;20.1;68.2;56;1454;
2022/06/01;15:55:02;1654098902;0.0;0;0;0.0;0.0;0;0;20.1;68.2;56;1454;
2022/06/01;15:55:12;1654098912;0.0;0;0;0.0;0.0;0;0;20.1;68.2;56;1455;
2022/06/01;15:55:22;1654098922;0.0;0;0;0.0;0.0;0;0;20.1;68.2;56;1454;
2022/06/01;15:55:32;1654098932;0.0;0;0;0.0;0.0;0;0;20.1;68.2;56;1454;
2022/06/01;15:55:42;1654098942;0.0;0;0;0.0;0.0;0;0;20.1;68.2;56;1454;
2022/06/01;15:55:52;1654098952;0.0;0;0;0.0;0.0;0;0;20.1;68.2;56;1454;
2022/06/01;15:56:02;1654098962;0.0;0;0;0.0;0.0;0;0;20.1;68.2;56;1452;
2022/06/01;15:56:12;1654098972;0.0;0;0;0.0;0.0;0;0;20.1;68.2;56;1453;
2022/06/01;15:56:22;1654098982;0.0;0;0;0.0;0.0;0;0;20.1;68.2;56;1452;
2022/06/01;15:56:32;1654098992;0.0;0;0;0.0;0.0;0;0;20.1;68.2;56;1453;
2022/06/01;15:56:42;1654099002;0.0;0;0;0.0;0.0;0;0;20.1;68.2;56;1453;
2022/06/01;15:56:52;1654099012;0.0;0;0;0.0;0.0;0;0;20.1;68.2;56;1454;
2022/06/01;15:57:02;1654099022;0.0;0;0;0.0;0.0;0;0;20.1;68.2;57;1456;
