Date;Time;Timestamp;PM2_5(ug/m3);AQI(US);AQI(CN);PM10(ug/m3);Outdoor AQI(US);Outdoor AQI(CN);Temperature(C);Temperature(F);Humidity(%RH);CO2(ppm);VOC(ppb)
2022/07/27;11:00:37;1658919637;9.0;38;13;18.0;0;0;19.3;66.7;64;587;-1
2022/07/27;11:00:47;1658919647;10.0;42;14;12.0;0;0;19.3;66.7;64;588;-1
2022/07/27;11:00:57;1658919657;9.0;38;13;11.0;0;0;19.3;66.7;64;589;-1
2022/07/27;11:01:07;1658919667;10.0;42;14;16.0;0;0;19.4;66.9;64;592;-1
2022/07/27;11:01:17;1658919677;10.0;42;14;12.0;0;0;19.4;66.9;64;597;-1
2022/07/27;11:01:27;1658919687;11.0;46;16;17.0;0;0;19.4;66.9;64;601;-1
2022/07/27;11:01:37;1658919697;10.0;42;14;10.0;0;0;19.4;67.0;64;604;-1
2022/07/27;11:01:47;1658919707;11.0;46;16;20.0;0;0;19.4;67.0;64;607;-1
2022/07/27;11:01:57;1658919717;11.0;46;16;20.0;0;0;19.4;67.0;64;609;-1
2022/07/27;11:02:07;1658919727;11.0;46;16;35.0;0;0;19.5;67.1;64;609;-1
2022/07/27;11:02:17;1658919737;10.0;42;14;23.0;0;0;19.5;67.1;64;610;-1
2022/07/27;11:02:27;1658919747;9.0;38;13;22.0;0;0;19.5;67.1;64;611;-1
2022/07/27;11:02:37;1658919757;9.0;38;13;9.0;0;0;19.5;67.1;64;611;-1
2022/07/27;11:02:47;1658919767;9.0;38;13;11.0;0;0;19.5;67.1;64;610;-1
2022/07/27;11:02:57;1658919777;9.0;38;13;9.0;0;0;19.5;67.1;64;611;-1
2022/07/27;11:03:07;1658919787;10.0;42;14;10.0;0;0;19.6;67.2;63;611;-1
2022/07/27;11:03:17;1658919797;9.0;38;13;9.0;0;0;19.6;67.2;63;610;-1
2022/07/27;11:03:27;1658919807;10.0;42;14;19.0;0;0;19.6;67.2;63;610;-1
2022/07/27;11:03:37;1658919817;10.0;42;14;23.0;0;0;19.6;67.3;63;610;-1
2022/07/27;11:03:47;1658919827;10.0;42;14;19.0;0;0;19.6;67.3;63;611;-1
2022/07/27;11:03:57;1658919837;10.0;42;14;12.0;0;0;19.6;67.3;63;612;-1
2022/07/27;11:04:07;1658919847;10.0;42;14;10.0;0;0;19.6;67.4;63;613;-1
2022/07/27;11:04:17;1658919857;11.0;46;16;11.0;0;0;19.6;67.4;63;616;-1
2022/07/27;11:04:27;1658919867;10.0;42;14;10.0;0;0;19.6;67.4;63;618;-1
2022/07/27;11:04:37;1658919877;11.0;46;16;11.0;0;0;19.7;67.4;63;619;-1
2022/07/27;11:04:47;1658919887;11.0;46;16;13.0;0;0;19.7;67.4;63;619;-1
2022/07/27;11:04:57;1658919897;11.0;46;16;13.0;0;0;19.7;67.4;63;619;-1
2022/07/27;11:05:07;1658919907;10.0;42;14;19.0;0;0;19.7;67.5;63;619;-1
2022/07/27;11:05:17;1658919917;10.0;42;14;12.0;0;0;19.7;67.5;63;619;-1
2022/07/27;11:05:27;1658919927;9.0;38;13;15.0;0;0;19.7;67.5;63;618;-1
2022/07/27;11:05:37;1658919937;9.0;38;13;9.0;0;0;19.7;67.5;63;618;-1
2022/07/27;11:05:47;1658919947;10.0;42;14;10.0;0;0;19.7;67.5;63;618;-1
2022/07/27;11:05:57;1658919957;10.0;42;14;12.0;0;0;19.7;67.5;63;618;-1
2022/07/27;11:06:07;1658919967;10.0;42;14;16.0;0;0;19.7;67.5;63;620;-1
2022/07/27;11:06:17;1658919977;10.0;42;14;16.0;0;0;19.7;67.5;63;619;-1
2022/07/27;11:06:27;1658919987;10.0;42;14;12.0;0;0;19.7;67.5;63;620;-1
2022/07/27;11:06:37;1658919997;10.0;42;14;10.0;0;0;19.8;67.6;62;619;-1
2022/07/27;11:06:47;1658920007;10.0;42;14;12.0;0;0;19.8;67.6;62;619;-1
2022/07/27;11:06:57;1658920017;9.0;38;13;15.0;0;0;19.8;67.6;62;619;-1
2022/07/27;11:07:07;1658920027;9.0;38;13;22.0;0;0;19.8;67.6;62;619;-1
2022/07/27;11:07:17;1658920037;10.0;42;14;23.0;0;0;19.8;67.6;62;619;-1
2022/07/27;11:07:27;1658920047;11.0;46;16;17.0;0;0;19.8;67.6;62;619;-1
