sensor,date,time,timestamp,pm2_5_ug_m3,aqi_us,aqi_cn,pm10_ug_m3,pm1_ug_m3,outdoor_aqi_us,outdoor_aqi_cn,temperature_c,temperature_f,humidity_percent_rh,co2_ppm,voc_ppb,experimentID,participantID,start_time,stop_time,toilet_type,activity,duration_of_expt
CEN00389,2022-07-25,54968,2022-07-25T15:16:08Z,1,4,1,1,0,0,0,22.5,72.5,58,428,NA,1,WT_001_W,2022-07-25T15:16:00Z,2022-07-25T15:18:18Z,W,U,138
CEN00389,2022-07-25,54978,2022-07-25T15:16:18Z,1,4,1,1,0,0,0,22.5,72.5,58,434,NA,1,WT_001_W,2022-07-25T15:16:00Z,2022-07-25T15:18:18Z,W,U,138
CEN00389,2022-07-25,54988,2022-07-25T15:16:28Z,1,4,1,1,0,0,0,22.5,72.5,58,446,NA,1,WT_001_W,2022-07-25T15:16:00Z,2022-07-25T15:18:18Z,W,U,138
CEN00389,2022-07-25,54998,2022-07-25T15:16:38Z,1,4,1,1,0,0,0,22.5,72.5,58,452,NA,1,WT_001_W,2022-07-25T15:16:00Z,2022-07-25T15:18:18Z,W,U,138
CEN00389,2022-07-25,55008,2022-07-25T15:16:48Z,1,4,1,1,0,0,0,22.5,72.5,58,459,NA,1,WT_001_W,2022-07-25T15:16:00Z,2022-07-25T15:18:18Z,W,U,138
CEN00389,2022-07-25,55018,2022-07-25T15:16:58Z,0,0,0,0,0,0,0,22.5,72.5,58,464,NA,1,WT_001_W,2022-07-25T15:16:00Z,2022-07-25T15:18:18Z,W,U,138
CEN00389,2022-07-25,55028,2022-07-25T15:17:08Z,1,4,1,1,0,0,0,22.5,72.5,58,468,NA,1,WT_001_W,2022-07-25T15:16:00Z,2022-07-25T15:18:18Z,W,U,138
CEN00389,2022-07-25,55038,2022-07-25T15:17:18Z,1,4,1,1,0,0,0,22.5,72.5,58,471,NA,1,WT_001_W,2022-07-25T15:16:00Z,2022-07-25T15:18:18Z,W,U,138
CEN00389,2022-07-25,55048,2022-07-25T15:17:28Z,1,4,1,1,0,0,0,22.5,72.5,58,473,NA,1,WT_001_W,2022-07-25T15:16:00Z,2022-07-25T15:18:18Z,W,U,138
CEN00389,2022-07-25,55058,2022-07-25T15:17:38Z,1,4,1,1,0,0,0,22.5,72.5,58,474,NA,1,WT_001_W,2022-07-25T15:16:00Z,2022-07-25T15:18:18Z,W,U,138
