sensor	date	time	timestamp	pm2_5_ug_m3	aqi_us	aqi_cn	pm10_ug_m3	pm1_ug_m3	outdoor_aqi_us	outdoor_aqi_cn	temperature_c	temperature_f	humidity_percent_rh	co2_ppm	voc_ppb	experimentID	participantID	start_time	stop_time	toilet_type	activity	duration_of_expt
CEN00389	2022-05-31	43304	2022-05-31T12:01:44Z	5	21	7	6	3	0	0	21.7	71.1	48	944	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43351	2022-05-31T12:02:31Z	3	13	4	4	1	0	0	22.1	71.8	49	350	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43361	2022-05-31T12:02:41Z	4	17	6	5	2	0	0	22.1	71.8	49	744	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43371	2022-05-31T12:02:51Z	5	21	7	7	3	0	0	22.2	71.9	49	692	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43381	2022-05-31T12:03:01Z	5	21	7	6	3	0	0	22.2	71.9	49	661	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43391	2022-05-31T12:03:11Z	5	21	7	6	3	0	0	22.2	71.9	49	629	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43401	2022-05-31T12:03:21Z	4	17	6	4	2	0	0	22.2	71.9	49	623	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43411	2022-05-31T12:03:31Z	4	17	6	4	2	0	0	22.2	71.9	49	600	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43421	2022-05-31T12:03:41Z	5	21	7	5	3	0	0	22.2	71.9	49	586	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43431	2022-05-31T12:03:51Z	4	17	6	4	1	0	0	22.2	71.9	49	553	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43441	2022-05-31T12:04:01Z	5	21	7	5	2	0	0	22.2	71.9	49	534	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43451	2022-05-31T12:04:11Z	5	21	7	5	2	0	0	22.2	71.9	49	517	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43461	2022-05-31T12:04:21Z	5	21	7	5	3	0	0	22.2	71.9	49	506	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43471	2022-05-31T12:04:31Z	5	21	7	5	3	0	0	22.2	71.9	49	490	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43481	2022-05-31T12:04:41Z	4	17	6	4	2	0	0	22.2	71.9	49	483	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43491	2022-05-31T12:04:51Z	4	17	6	4	2	0	0	22.2	71.9	48	476	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43501	2022-05-31T12:05:01Z	4	17	6	4	2	0	0	22.2	71.9	48	474	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43511	2022-05-31T12:05:11Z	5	21	7	5	3	0	0	22.2	71.9	48	469	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43521	2022-05-31T12:05:21Z	5	21	7	5	3	0	0	22.2	71.9	48	465	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43531	2022-05-31T12:05:31Z	5	21	7	5	3	0	0	22.2	71.9	48	463	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43541	2022-05-31T12:05:41Z	5	21	7	5	2	0	0	22.2	71.9	48	462	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43551	2022-05-31T12:05:51Z	5	21	7	5	2	0	0	22.2	72	48	459	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43561	2022-05-31T12:06:01Z	5	21	7	5	2	0	0	22.2	72	48	459	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43571	2022-05-31T12:06:11Z	5	21	7	5	2	0	0	22.2	72	48	456	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43581	2022-05-31T12:06:21Z	5	21	7	5	3	0	0	22.2	72	48	455	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43591	2022-05-31T12:06:31Z	5	21	7	5	2	0	0	22.2	72	48	455	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43601	2022-05-31T12:06:41Z	5	21	7	5	3	0	0	22.2	72	48	454	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43611	2022-05-31T12:06:51Z	5	21	7	5	2	0	0	22.2	72	48	454	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43621	2022-05-31T12:07:01Z	6	25	9	6	3	0	0	22.2	72	48	453	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43631	2022-05-31T12:07:11Z	5	21	7	5	2	0	0	22.2	72	48	453	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43641	2022-05-31T12:07:21Z	5	21	7	5	3	0	0	22.2	72	48	453	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43651	2022-05-31T12:07:31Z	5	21	7	5	3	0	0	22.2	72	48	452	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43661	2022-05-31T12:07:41Z	5	21	7	5	3	0	0	22.2	72	48	452	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43671	2022-05-31T12:07:51Z	5	21	7	5	3	0	0	22.2	72	48	452	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43681	2022-05-31T12:08:01Z	5	21	7	5	3	0	0	22.2	72	48	452	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43691	2022-05-31T12:08:11Z	5	21	7	5	2	0	0	22.2	72	48	451	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43701	2022-05-31T12:08:21Z	5	21	7	5	2	0	0	22.3	72.1	48	452	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43711	2022-05-31T12:08:31Z	5	21	7	6	2	0	0	22.3	72.1	48	451	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43721	2022-05-31T12:08:41Z	5	21	7	5	2	0	0	22.3	72.1	48	451	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43731	2022-05-31T12:08:51Z	5	21	7	5	2	0	0	22.3	72.1	48	451	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43741	2022-05-31T12:09:01Z	5	21	7	5	3	0	0	22.3	72.1	48	451	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43751	2022-05-31T12:09:11Z	5	21	7	5	3	0	0	22.3	72.1	48	451	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43761	2022-05-31T12:09:21Z	5	21	7	5	3	0	0	22.3	72.1	48	450	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43771	2022-05-31T12:09:31Z	5	21	7	5	3	0	0	22.3	72.1	48	450	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43781	2022-05-31T12:09:41Z	5	21	7	6	3	0	0	22.3	72.1	48	450	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43791	2022-05-31T12:09:51Z	5	21	7	6	3	0	0	22.3	72.1	48	450	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43801	2022-05-31T12:10:01Z	6	25	9	8	3	0	0	22.3	72.1	48	450	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43811	2022-05-31T12:10:11Z	5	21	7	6	2	0	0	22.3	72.1	48	451	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43821	2022-05-31T12:10:21Z	5	21	7	5	3	0	0	22.3	72.1	48	452	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43831	2022-05-31T12:10:31Z	4	17	6	4	2	0	0	22.3	72.1	48	453	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43841	2022-05-31T12:10:41Z	5	21	7	5	3	0	0	22.3	72.1	48	456	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43851	2022-05-31T12:10:51Z	5	21	7	5	3	0	0	22.3	72.1	48	457	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43861	2022-05-31T12:11:01Z	5	21	7	5	2	0	0	22.3	72.1	48	458	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43871	2022-05-31T12:11:11Z	5	21	7	5	2	0	0	22.3	72.1	48	458	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43881	2022-05-31T12:11:21Z	5	21	7	5	2	0	0	22.3	72.1	48	457	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43891	2022-05-31T12:11:31Z	4	17	6	4	2	0	0	22.3	72.1	48	456	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43901	2022-05-31T12:11:41Z	4	17	6	4	2	0	0	22.3	72.1	48	454	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43911	2022-05-31T12:11:51Z	4	17	6	4	2	0	0	22.3	72.2	48	453	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43921	2022-05-31T12:12:01Z	4	17	6	4	2	0	0	22.3	72.2	48	452	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43931	2022-05-31T12:12:11Z	4	17	6	4	2	0	0	22.3	72.2	48	451	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	44241	2022-05-31T12:17:21Z	4	17	6	4	2	0	0	22.4	72.3	48	458	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45212	2022-05-31T12:33:32Z	1	4	1	2	0	0	0	21	69.8	46	350	NA	NA	NA	NA	NA	NA	NA	NA
