"experimentID","participantID","activity","activity_sub_type","date_time","surface","hand","toilet_type","sex","id","surfaceCategories"
"YPPXM4223O","CEW005","Urination",NA,"Touched Sun Aug 07 2022 11:42:59 GMT+0100 (英国夏令时间)","Inside door handle","right","Female","Female","1 CEW005","Door"
"YPPXM4223O","CEW005","Urination",NA,"Touched Sun Aug 07 2022 11:43:07 GMT+0100 (英国夏令时间)","Cubicle door handle inside","right","Female","Female","1 CEW005","Cubicle"
"YPPXM4223O","CEW005","Urination",NA,"Touched Sun Aug 07 2022 11:43:21 GMT+0100 (英国夏令时间)","Toilet surface","left","Female","Female","1 CEW005","Cubicle"
"YPPXM4223O","CEW005","Urination",NA,"Touched Sun Aug 07 2022 11:43:22 GMT+0100 (英国夏令时间)","Phone","both","Female","Female","1 CEW005","Personal"
"YPPXM4223O","CEW005","Urination",NA,"Touched Sun Aug 07 2022 11:43:24 GMT+0100 (英国夏令时间)","Toilet paper","both","Female","Female","1 CEW005","Cubicle"
"YPPXM4223O","CEW005","Urination",NA,"Touched Sun Aug 07 2022 11:43:48 GMT+0100 (英国夏令时间)","Phone","left","Female","Female","1 CEW005","Personal"
"YPPXM4223O","CEW005","Urination",NA,"Touched Sun Aug 07 2022 11:43:53 GMT+0100 (英国夏令时间)","Clothing","both","Female","Female","1 CEW005","Personal"
"YPPXM4223O","CEW005","Urination",NA,"Touched Sun Aug 07 2022 11:43:58 GMT+0100 (英国夏令时间)","Flush button","right","Female","Female","1 CEW005","Cubicle"
"YPPXM4223O","CEW005","Urination",NA,"Touched Sun Aug 07 2022 11:44:07 GMT+0100 (英国夏令时间)","Phone","left","Female","Female","1 CEW005","Personal"
"YPPXM4223O","CEW005","Urination",NA,"Touched Sun Aug 07 2022 11:44:20 GMT+0100 (英国夏令时间)","Cubicle door handle inside","right","Female","Female","1 CEW005","Cubicle"
"YPPXM4223O","CEW005","Urination",NA,"Touched Sun Aug 07 2022 11:44:27 GMT+0100 (英国夏令时间)","Tap","right","Female","Female","1 CEW005","Hygiene"
"YPPXM4223O","CEW005","Urination",NA,"Touched Sun Aug 07 2022 11:44:33 GMT+0100 (英国夏令时间)","Soap dispenser","left","Female","Female","1 CEW005","Hygiene"
"YPPXM4223O","CEW005","Urination",NA,"Touched Sun Aug 07 2022 11:44:41 GMT+0100 (英国夏令时间)","Tap","right","Female","Female","1 CEW005","Hygiene"
"YPPXM4223O","CEW005","Urination",NA,"Touched Sun Aug 07 2022 11:44:48 GMT+0100 (英国夏令时间)","Tap","right","Female","Female","1 CEW005","Hygiene"
"YPPXM4223O","CEW005","Urination",NA,"Touched Sun Aug 07 2022 11:44:55 GMT+0100 (英国夏令时间)","Phone","right","Female","Female","1 CEW005","Personal"
"YPPXM4223O","CEW005","Urination",NA,"Touched Sun Aug 07 2022 11:44:50 GMT+0100 (英国夏令时间)","Hand dryer","both","Female","Female","1 CEW005","Hygiene"
