Date;Time;Timestamp;PM2_5(ug/m3);AQI(US);AQI(CN);PM10(ug/m3);Outdoor AQI(US);Outdoor AQI(CN);Temperature(C);Temperature(F);Humidity(%RH);CO2(ppm);VOC(ppb)
2022/07/25;14:37:43;1658759863;2.0;8;3;5.0;0;0;22.5;72.5;59;592;-1
2022/07/25;14:37:53;1658759873;2.0;8;3;2.0;0;0;22.5;72.5;59;656;-1
2022/07/25;14:38:03;1658759883;1.0;4;1;1.0;0;0;22.5;72.5;59;674;-1
2022/07/25;14:38:13;1658759893;1.0;4;1;1.0;0;0;22.5;72.5;59;673;-1
2022/07/25;14:38:23;1658759903;1.0;4;1;1.0;0;0;22.5;72.5;59;675;-1
2022/07/25;14:38:33;1658759913;1.0;4;1;1.0;0;0;22.5;72.5;60;662;-1
2022/07/25;14:38:43;1658759923;1.0;4;1;4.0;0;0;22.5;72.5;60;621;-1
2022/07/25;14:38:53;1658759933;1.0;4;1;9.0;0;0;22.5;72.5;60;585;-1
2022/07/25;14:39:03;1658759943;1.0;4;1;9.0;0;0;22.5;72.5;60;559;-1
2022/07/25;14:39:13;1658759953;1.0;4;1;9.0;0;0;22.5;72.5;60;564;-1
2022/07/25;14:39:23;1658759963;1.0;4;1;4.0;0;0;22.5;72.5;60;565;-1
2022/07/25;14:40:53;1658760053;1.0;4;1;4.0;0;0;22.5;72.5;60;568;-1
2022/07/25;14:41:03;1658760063;1.0;4;1;4.0;0;0;22.5;72.5;60;577;-1
2022/07/25;14:41:13;1658760073;1.0;4;1;9.0;0;0;22.5;72.5;60;584;-1
2022/07/25;14:41:23;1658760083;1.0;4;1;13.0;0;0;22.5;72.4;59;583;-1
2022/07/25;14:41:33;1658760093;1.0;4;1;9.0;0;0;22.5;72.4;59;582;-1
2022/07/25;14:41:43;1658760103;1.0;4;1;4.0;0;0;22.5;72.4;59;576;-1
2022/07/25;14:41:53;1658760113;1.0;4;1;1.0;0;0;22.5;72.5;59;569;-1
2022/07/25;14:42:03;1658760123;1.0;4;1;9.0;0;0;22.5;72.5;59;555;-1
2022/07/25;14:42:13;1658760133;1.0;4;1;9.0;0;0;22.5;72.5;59;534;-1
2022/07/25;14:42:23;1658760143;1.0;4;1;9.0;0;0;22.5;72.6;59;503;-1
2022/07/25;14:42:33;1658760153;1.0;4;1;1.0;0;0;22.5;72.6;59;489;-1
2022/07/25;14:42:43;1658760163;1.0;4;1;9.0;0;0;22.5;72.6;59;449;-1
